epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1514,1.32039,14.1901,0.00164,0.8274,0.55932,0.61628,0.38463,1.60673,1.64772,0.00239,0.000664665,0.000664665,0.000664665
2,98.2083,1.33793,1.90241,0.00171,0.85948,0.62712,0.7131,0.38249,1.8429,1.59545,0.00306,0.00132035,0.00132035,0.00132035
3,146.767,1.37829,1.25263,0.00188,0.66249,0.63216,0.63144,0.41046,1.55095,1.30171,0.00254,0.00196503,0.00196503,0.00196503
4,194.558,1.34808,0.88288,0.00184,0.71334,0.54237,0.67745,0.4448,1.54502,1.64299,0.00232,0.0019505,0.0019505,0.0019505
5,242.087,1.35103,0.79653,0.00183,0.63946,0.57124,0.63136,0.41853,1.60062,1.87565,0.00257,0.001934,0.001934,0.001934
6,289.543,1.24596,0.74501,0.0017,0.78795,0.62986,0.7206,0.4674,1.51023,1.39915,0.00233,0.0019175,0.0019175,0.0019175
7,336.621,1.1831,0.63232,0.00148,0.94588,0.59245,0.7413,0.46252,1.46459,1.19052,0.00229,0.001901,0.001901,0.001901
8,384.026,1.15807,0.56595,0.00156,0.83516,0.68708,0.73643,0.43284,1.75502,1.25629,0.00291,0.0018845,0.0018845,0.0018845
9,431.668,1.1866,0.64191,0.00155,0.91893,0.57627,0.72054,0.45924,1.6025,1.27426,0.00243,0.001868,0.001868,0.001868
10,479.137,1.16563,0.59775,0.00149,0.94569,0.59037,0.77012,0.48084,1.6331,1.43529,0.00247,0.0018515,0.0018515,0.0018515
11,527.117,1.13828,0.48701,0.0014,0.74278,0.62712,0.71066,0.4253,1.55041,1.14382,0.00237,0.001835,0.001835,0.001835
12,574.687,1.1433,0.47938,0.00145,0.78919,0.6346,0.76322,0.52819,1.39609,1.50496,0.00204,0.0018185,0.0018185,0.0018185
13,621.402,1.06369,0.48908,0.00136,0.97035,0.55486,0.7037,0.47582,1.42389,1.52951,0.00215,0.001802,0.001802,0.001802
14,668.377,1.02574,0.44842,0.00122,0.81113,0.66102,0.78729,0.48363,1.51571,1.04135,0.00231,0.0017855,0.0017855,0.0017855
15,714.258,1.06013,0.4808,0.00128,0.93111,0.68737,0.81899,0.49226,1.60283,1.10334,0.00244,0.001769,0.001769,0.001769
16,761.141,1.09806,0.46,0.00135,0.79029,0.76653,0.82058,0.52294,1.44431,0.9866,0.00222,0.0017525,0.0017525,0.0017525
17,808.261,1.02111,0.44796,0.00127,0.89522,0.67797,0.76381,0.5326,1.39124,1.13728,0.00212,0.001736,0.001736,0.001736
18,855.016,1.02786,0.42954,0.00126,0.94679,0.60323,0.76736,0.53599,1.29657,1.16481,0.00199,0.0017195,0.0017195,0.0017195
19,902.056,1.00152,0.43093,0.00119,0.95529,0.72429,0.82115,0.54632,1.40616,0.98038,0.00205,0.001703,0.001703,0.001703
20,949.096,1.02487,0.42845,0.00123,0.89886,0.7532,0.82656,0.48282,1.7197,0.98839,0.00264,0.0016865,0.0016865,0.0016865
21,996.037,0.99551,0.4082,0.0012,0.81345,0.64407,0.7832,0.49222,1.65869,1.08331,0.00236,0.00167,0.00167,0.00167
22,1043.21,1.01459,0.42365,0.00124,1,0.65254,0.82855,0.56609,1.46107,1.13838,0.00215,0.0016535,0.0016535,0.0016535
23,1089.4,1.00582,0.40941,0.00118,0.97788,0.64407,0.7947,0.46778,1.62107,1.28543,0.00238,0.001637,0.001637,0.001637
24,1136.44,0.97587,0.41926,0.00116,0.93863,0.74576,0.84279,0.59092,1.27636,0.87562,0.00184,0.0016205,0.0016205,0.0016205
25,1183.77,0.95943,0.38816,0.00113,0.93601,0.7438,0.81845,0.5863,1.34189,1.09803,0.00206,0.001604,0.001604,0.001604
26,1230.62,0.9531,0.3598,0.00114,0.85476,0.69492,0.77507,0.516,1.53178,1.10027,0.00223,0.0015875,0.0015875,0.0015875
27,1278.08,0.98586,0.37681,0.00121,1,0.65945,0.80401,0.55157,1.55151,1.02408,0.00246,0.001571,0.001571,0.001571
28,1325.12,0.94704,0.35211,0.00113,0.9022,0.78178,0.84947,0.55535,1.44215,1.00453,0.0022,0.0015545,0.0015545,0.0015545
29,1372.7,0.92478,0.36214,0.00106,0.96138,0.71186,0.83751,0.55714,1.38704,1.17395,0.00209,0.001538,0.001538,0.001538
30,1419.07,0.95482,0.37936,0.00115,0.90444,0.66102,0.78178,0.52211,1.54253,1.31075,0.00237,0.0015215,0.0015215,0.0015215
31,1465.95,0.94227,0.37424,0.00115,0.9602,0.69492,0.82428,0.56228,1.45475,1.05328,0.00214,0.001505,0.001505,0.001505
32,1512.94,0.85502,0.36037,0.001,0.97166,0.67797,0.80434,0.55197,1.31713,0.94891,0.00199,0.0014885,0.0014885,0.0014885
33,1560.21,0.92426,0.37635,0.00109,0.93469,0.72769,0.81015,0.55617,1.45768,1.18927,0.00212,0.001472,0.001472,0.001472
34,1607.37,0.95032,0.36222,0.00112,1,0.75493,0.82912,0.54621,1.53444,0.82732,0.00229,0.0014555,0.0014555,0.0014555
35,1654.71,0.90676,0.37831,0.00105,0.97948,0.62712,0.78329,0.54626,1.49656,0.98921,0.00223,0.001439,0.001439,0.001439
36,1701.82,0.90415,0.33705,0.00104,0.97703,0.72115,0.8144,0.55009,1.54236,1.0956,0.00218,0.0014225,0.0014225,0.0014225
37,1749.39,0.89303,0.30614,0.00104,0.89569,0.72771,0.79827,0.56091,1.44268,0.89592,0.00214,0.001406,0.001406,0.001406
38,1796.06,0.89399,0.33674,0.00098,0.96701,0.76271,0.88507,0.57941,1.41452,0.85078,0.00203,0.0013895,0.0013895,0.0013895
39,1843.17,0.84347,0.31822,0.00097,0.93928,0.78662,0.84275,0.561,1.54148,0.74641,0.00223,0.001373,0.001373,0.001373
40,1890.57,0.89334,0.32484,0.00109,0.85776,0.7155,0.81449,0.57318,1.48875,1.43094,0.0021,0.0013565,0.0013565,0.0013565
41,1937.58,0.84607,0.34655,0.00098,1,0.69507,0.86141,0.56047,1.45833,0.90446,0.00207,0.00134,0.00134,0.00134
42,1985.32,0.85431,0.32402,0.00099,0.91356,0.74576,0.83282,0.55981,1.38779,0.82201,0.00194,0.0013235,0.0013235,0.0013235
43,2032.89,0.89259,0.32434,0.00102,0.93436,0.72881,0.8216,0.5666,1.32401,0.82319,0.00183,0.001307,0.001307,0.001307
44,2080.74,0.83958,0.32144,0.00095,0.99079,0.76271,0.83984,0.56985,1.49631,1.05031,0.00216,0.0012905,0.0012905,0.0012905
45,2129.39,0.86002,0.32104,0.00097,0.97773,0.74576,0.83786,0.58452,1.39553,0.95074,0.00209,0.001274,0.001274,0.001274
46,2177.41,0.8251,0.29421,0.00094,0.90021,0.76271,0.82413,0.56896,1.52582,1.05984,0.00217,0.0012575,0.0012575,0.0012575
47,2226.06,0.80104,0.29005,0.0009,0.95209,0.6737,0.78947,0.56516,1.47401,1.01647,0.00215,0.001241,0.001241,0.001241
48,2274.83,0.844,0.30661,0.00096,0.94784,0.71186,0.78614,0.534,1.51838,1.20069,0.00226,0.0012245,0.0012245,0.0012245
49,2323.82,0.80801,0.29241,0.00092,0.87776,0.73029,0.80625,0.55526,1.55194,0.96874,0.00229,0.001208,0.001208,0.001208
